word	sample	accuracy	chance	expresults
morrissey	5	0.99	0.9186	1.0
morrissey	5	0.98	0.8302	1.0
morrissey	5	0.95	0.6532	0.994
morrissey	5	0.9	0.4038	0.915
morrissey	5	0.85	0.258	0.759
morrissey	5	0.8	0.1406	0.521
morrissey	5	0.75	0.0792	0.324
morrissey	5	0.7	0.0486	0.215
morrissey	20	0.99	0.91625	1.0
morrissey	20	0.98	0.83455	1.0
morrissey	20	0.95	0.6394	1.0
morrissey	20	0.9	0.4054	1.0
morrissey	20	0.85	0.2402	0.991
morrissey	20	0.8	0.1457	0.966
morrissey	20	0.75	0.08145	0.815
morrissey	20	0.7	0.0468	0.608
morrissey	100	0.99	0.91557	1.0
morrissey	100	0.98	0.83773	1.0
morrissey	100	0.95	0.63918	1.0
morrissey	100	0.9	0.39676	1.0
morrissey	100	0.85	0.24567	1.0
morrissey	100	0.8	0.142	1.0
morrissey	100	0.75	0.08251	1.0
morrissey	100	0.7	0.04587	0.992
counterrevolutionaries	5	0.99	0.801	0.999
counterrevolutionaries	5	0.98	0.646	0.996
counterrevolutionaries	5	0.95	0.3398	0.865
counterrevolutionaries	5	0.9	0.1116	0.441
counterrevolutionaries	5	0.85	0.0318	0.152
counterrevolutionaries	5	0.8	0.0102	0.051
counterrevolutionaries	5	0.75	0.0022	0.011
counterrevolutionaries	5	0.7	0.0008	0.004
counterrevolutionaries	20	0.99	0.80785	1.0
counterrevolutionaries	20	0.98	0.6548	1.0
counterrevolutionaries	20	0.95	0.3334	1.0
counterrevolutionaries	20	0.9	0.10495	0.886
counterrevolutionaries	20	0.85	0.0336	0.48
counterrevolutionaries	20	0.8	0.00745	0.137
counterrevolutionaries	20	0.75	0.00175	0.034
counterrevolutionaries	20	0.7	0.0008	0.016
counterrevolutionaries	100	0.99	0.80586	1.0
counterrevolutionaries	100	0.98	0.65005	1.0
counterrevolutionaries	100	0.95	0.33565	1.0
counterrevolutionaries	100	0.9	0.10414	1.0
counterrevolutionaries	100	0.85	0.03141	0.959
counterrevolutionaries	100	0.8	0.00867	0.591
counterrevolutionaries	100	0.75	0.00208	0.19
counterrevolutionaries	100	0.7	0.00057	0.055
