word	sample	accuracy	chance	exp
morrissey	1	0.8	0.135	0.135
morrissey	2	0.8	0.131	0.131
morrissey	3	0.8	0.147333333333	0.355
morrissey	4	0.8	0.1485	0.471
morrissey	5	0.8	0.1428	0.536
morrissey	6	0.8	0.143333333333	0.607
morrissey	7	0.8	0.146285714286	0.673
morrissey	8	0.8	0.140125	0.717
morrissey	9	0.8	0.137444444444	0.74
morrissey	10	0.8	0.1479	0.791
morrissey	11	0.8	0.141181818182	0.808
morrissey	12	0.8	0.141583333333	0.829
morrissey	13	0.8	0.142461538462	0.869
morrissey	14	0.8	0.146285714286	0.887
morrissey	15	0.8	0.140533333333	0.897
morrissey	16	0.8	0.141125	0.909
morrissey	17	0.8	0.142764705882	0.923
morrissey	18	0.8	0.1445	0.931
morrissey	19	0.8	0.140947368421	0.941
morrissey	20	0.8	0.14105	0.945
morrissey	21	0.8	0.142428571429	0.961
morrissey	22	0.8	0.143136363636	0.967
morrissey	23	0.8	0.140956521739	0.977
morrissey	24	0.8	0.140583333333	0.977
morrissey	25	0.8	0.14244	0.976
morrissey	26	0.8	0.148153846154	0.986
morrissey	27	0.8	0.140333333333	0.985
morrissey	28	0.8	0.143035714286	0.987
morrissey	29	0.8	0.140344827586	0.988
morrissey	30	0.8	0.139466666667	0.985
morrissey	31	0.8	0.142580645161	0.992
morrissey	32	0.8	0.14125	0.994
morrissey	33	0.8	0.142393939394	0.993
morrissey	34	0.8	0.147823529412	0.997
morrissey	35	0.8	0.145371428571	0.999
morrissey	36	0.8	0.141222222222	0.999
morrissey	37	0.8	0.139081081081	0.995
morrissey	38	0.8	0.142263157895	0.995
morrissey	39	0.8	0.144666666667	0.998
morrissey	40	0.8	0.141025	0.998
morrissey	41	0.8	0.142268292683	0.997
morrissey	42	0.8	0.146214285714	0.999
morrissey	43	0.8	0.143534883721	0.997
morrissey	44	0.8	0.143	0.999
morrissey	45	0.8	0.143288888889	1.0
morrissey	46	0.8	0.141130434783	0.998
morrissey	47	0.8	0.14229787234	0.998
morrissey	48	0.8	0.139875	0.999
morrissey	49	0.8	0.14087755102	0.999
morrissey	50	0.8	0.14178	0.998
